sample;1;2;3;4;5;6;7;8;9;10;11;12
A;blk;Bs;13;34;47;109;152;72;78;81;111;128
B;blk;Bs;13;34;47;109;152;72;78;81;111;128
C;blk;Bs;139;151;161;178;229;239;241;249;250;31
D;blk;Bs;139;151;161;178;229;239;241;249;250;31
E;blk;Bs;186;192;193;255;277;279;2;16;32;35
F;blk;Bs;186;192;193;255;277;279;2;16;32;35
G;blk;Bs;40;44;45;51;57;58;62;63;87;191
H;blk;Bs;40;44;45;51;57;58;62;63;87;191
;;;;;;;;;;;;
medium;1;2;3;4;5;6;7;8;9;10;11;12
A;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
B;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
C;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
D;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
E;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
F;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
G;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
H;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm;0.1xlbgm
;;;;;;;;;;;;
iso_site;1;2;3;4;5;6;7;8;9;10;11;12
A;none;none;P5;P5;P5;P5;P5;P8;P8;P8;P8;P8
B;none;none;P5;P5;P5;P5;P5;P8;P8;P8;P8;P8
C;none;none;P8;P8;P8;P8;P8;P8;P8;P8;P8;P9
D;none;none;P8;P8;P8;P8;P8;P8;P8;P8;P8;P9
E;none;none;P8;P8;P8;P8;P8;P8;P9;P9;P9;P9
F;none;none;P8;P8;P8;P8;P8;P8;P9;P9;P9;P9
G;none;none;P9;P9;P9;P9;P9;P9;P9;P9;P9;P9
H;none;none;P9;P9;P9;P9;P9;P9;P9;P9;P9;P9
